country,country_code,year_week,level,region,region_name,new_cases,tests_done,population,testing_rate,positivity_rate,testing_data_source,datetime
Austria,AT,2020-W01,national,AT,Austria,18490.5,989780.0,8932664,11080.457075,1.7924589869999998,,2020-01-06
Austria,AT,2020-W02,national,AT,Austria,18490.5,989780.0,8932664,11080.457075,1.7924589869999998,,2020-01-13
Austria,AT,2020-W03,national,AT,Austria,18490.5,989780.0,8932664,11080.457075,1.7924589869999998,,2020-01-20
Austria,AT,2020-W04,national,AT,Austria,18490.5,989780.0,8932664,11080.457075,1.7924589869999998,,2020-01-27
Austria,AT,2020-W05,national,AT,Austria,18490.5,989780.0,8932664,11080.457075,1.7924589869999998,,2020-02-03
Austria,AT,2020-W06,national,AT,Austria,18490.5,989780.0,8932664,11080.457075,1.7924589869999998,,2020-02-10
Austria,AT,2020-W07,national,AT,Austria,18490.5,989780.0,8932664,11080.457075,1.7924589869999998,,2020-02-17
Austria,AT,2020-W08,national,AT,Austria,18490.5,989780.0,8932664,11080.457075,1.7924589869999998,,2020-02-24
Austria,AT,2020-W09,national,AT,Austria,18490.5,989780.0,8932664,11080.457075,1.7924589869999998,,2020-03-02
Austria,AT,2020-W10,national,AT,Austria,18490.5,989780.0,8932664,11080.457075,1.7924589869999998,,2020-03-09
Austria,AT,2020-W11,national,AT,Austria,18490.5,989780.0,8932664,11080.457075,1.7924589869999998,,2020-03-16
Austria,AT,2020-W12,national,AT,Austria,18490.5,989780.0,8932664,11080.457075,1.7924589869999998,,2020-03-23
Austria,AT,2020-W13,national,AT,Austria,18490.5,989780.0,8932664,11080.457075,1.7924589869999998,,2020-03-30
Austria,AT,2020-W14,national,AT,Austria,18490.5,989780.0,8932664,11080.457075,1.7924589869999998,,2020-04-06
Austria,AT,2020-W15,national,AT,Austria,1841.0,12339.0,8932664,138.133484,14.92017181,Manual webscraping,2020-04-13
Austria,AT,2020-W16,national,AT,Austria,684.0,58488.0,8932664,654.7654765,1.169470661,Manual webscraping,2020-04-20
Austria,AT,2020-W17,national,AT,Austria,448.0,33443.0,8932664,374.3899916,1.33959274,Manual webscraping,2020-04-27
Austria,AT,2020-W18,national,AT,Austria,312.0,26598.0,8932664,297.7611158,1.173020528,Country website,2020-05-04
Austria,AT,2020-W19,national,AT,Austria,264.0,42153.0,8932664,471.8972974,0.626289944,Country website,2020-05-11
Austria,AT,2020-W20,national,AT,Austria,335.0,46001.0,8932664,514.9751519,0.728245038,Country website,2020-05-18
Austria,AT,2020-W21,national,AT,Austria,265.0,39348.0,8932664,440.4956909,0.673477686,Country website,2020-05-25
Austria,AT,2020-W22,national,AT,Austria,195.0,46677.0,8932664,522.5428831,0.417764638,Country website,2020-06-01
Austria,AT,2020-W23,national,AT,Austria,227.0,41063.0,8932664,459.6948906,0.552809098,Country website,2020-06-08
Austria,AT,2020-W24,national,AT,Austria,172.0,35243.0,8932664,394.5407551,0.488040178,Country website,2020-06-15
